id,education,marriage,income,is_local,apply_amount,overdue_amount,credit_amount,overdue_months,overdue_number,extened_number,advanced_number,state
87,1,2,3,1,500,0,17650,2,0,0,0,0
88,1,1,4,0,50000,0,0,9,1,0,0,0
89,1,1,2,0,800,2610,20500,4,0,0,0,0
90,1,1,4,1,4000,0,14300,0,0,0,0,0
91,1,1,4,1,40000,0,109000,3,1,0,0,0
92,2,2,4,1,712,0,20978,33,0,0,0,0
93,1,1,3,1,0,0,0,0,0,0,0,0
94,1,2,3,1,0,0,0,0,0,0,0,0
95,1,1,5,0,0,0,0,1,0,0,0,0
96,2,2,3,1,666,0,40620,1,0,0,0,0
97,1,1,4,1,150000,0,150000,6,0,0,0,0
98,1,2,4,0,5000,0,5000,1,0,0,0,0
99,2,1,4,1,3688,0,13005,42,1,0,0,0
100,1,1,4,1,50000,0,130000,0,2,0,0,0
101,1,2,4,0,6000,0,0,2,0,0,0,0
102,1,1,2,0,0,0,0,0,0,0,0,0
103,1,1,4,1,0,0,0,47,0,0,0,0
104,2,1,4,1,8000,0,8000,0,0,0,0,1
105,1,1,4,0,25000,0,57000,2,1,0,0,0
106,1,2,3,1,140000,0,0,0,0,0,0,0
107,2,2,3,1,9000,0,9000,6,0,0,0,0
108,1,1,4,1,0,0,0,2,0,0,0,0
109,1,1,2,1,0,0,0,1,0,0,0,0
110,1,1,4,0,168,0,168,4,0,0,0,1
111,1,2,3,1,8900,0,258600,2,1,0,0,0
112,2,2,3,0,2500,0,21000,19,1,0,0,0
113,2,1,4,1,25000,0,25000,35,0,0,0,0
114,2,2,3,1,2846,0,19534,0,0,0,0,0
115,1,1,4,1,10000,0,10000,2,0,0,0,0
116,1,1,4,0,10000,0,23600,7,0,0,0,0
117,1,1,3,1,1092,0,0,1,0,0,0,0
118,2,1,5,0,64680,0,0,15,1,0,0,0
120,1,1,4,0,0,0,0,1,0,0,0,0
121,1,2,4,1,590,0,271100,1,0,0,0,0
122,2,1,4,1,1259,0,1259,22,0,0,0,0
123,1,1,4,1,30,0,24093,1,0,0,0,0
124,1,1,4,1,1529,0,36980,2,0,0,0,0
125,1,2,3,0,1000,0,13588,1,0,0,0,0
126,4,1,4,0,0,0,0,2,0,0,0,0
127,1,1,4,0,220,0,14869,0,0,0,0,0
128,1,2,4,0,800,0,11000,0,0,0,0,0
129,3,2,3,1,300,0,7300,0,0,0,0,0
130,1,2,3,1,500,0,32100,3,0,0,0,0
131,1,1,3,1,500,0,50990,5,0,0,0,0
132,1,1,4,0,168,0,83800,9,6,0,3,0
133,1,1,2,1,900,0,238600,0,1,0,0,0
134,1,2,3,0,500,0,18837,3,0,0,0,0
135,1,3,6,0,3910,0,3910,0,0,0,0,0
136,1,2,3,0,0,0,0,0,0,0,0,0
137,2,2,3,0,5000,0,13500,0,0,0,0,0
138,1,2,3,0,168,0,41800,0,0,0,0,0
139,1,2,3,1,1185,0,14085,5,0,0,0,0
140,2,2,3,0,0,0,0,0,0,0,0,0
141,2,1,5,0,2000,0,22000,5,4,0,0,0
142,1,3,3,1,2700,0,2700,12,1,0,0,0
143,2,2,4,1,1029,0,301029,9,0,0,0,0
144,1,1,4,0,2000,0,7316,16,0,0,0,0
145,2,1,4,1,2000,0,263000,3,0,0,0,0
146,2,1,4,1,1000,0,19600,0,0,0,0,0
148,1,1,7,1,1300,0,135800,0,1,0,0,0
149,1,1,4,1,2000,0,105200,1,1,0,0,0
150,1,2,4,0,1000,0,291200,2,0,0,0,0
151,2,1,4,1,4500,0,54500,0,0,0,0,0
152,1,3,3,1,2000,0,5800,22,0,0,0,0
153,2,1,4,1,8000,0,388000,4,0,0,0,0
154,1,1,4,0,5000,0,5000,0,0,0,0,0
155,1,1,4,0,0,0,0,5,0,0,0,0
156,1,1,4,0,0,0,0,2,0,0,0,0
157,1,1,3,0,0,0,0,0,0,0,0,0
158,2,1,3,1,783,0,23983,4,0,0,0,0
159,1,2,3,1,400,0,21135,8,0,0,0,0
160,1,1,4,0,900,0,53900,0,0,0,0,0
161,1,2,2,0,0,0,0,9,0,0,0,1
162,1,1,4,1,4000,0,4000,27,3,0,1,0
163,1,1,4,1,2000,0,612000,0,1,0,0,0
164,3,1,5,1,1900,0,549600,2,3,0,0,0
165,2,1,6,1,3000,0,213000,3,0,0,0,0
166,1,1,4,0,1000,0,60038,0,0,0,0,0
167,2,1,3,1,500,0,18830,7,0,0,0,0
168,1,1,4,1,299,0,30305,7,0,0,0,0
169,1,1,4,1,2000,0,2000,12,1,0,0,0
170,2,2,3,0,919,0,7414,0,0,0,0,0
171,1,1,4,1,2700,0,17700,1,0,0,0,0
172,1,2,4,0,14000,0,14000,5,0,0,0,0
173,1,1,2,1,0,0,0,0,0,0,0,0
174,1,1,3,1,0,0,0,0,0,0,0,0
175,1,1,3,1,0,0,0,0,0,0,0,0
176,2,2,3,0,500,0,72666,0,0,0,0,0
177,2,2,3,0,1000,0,15201,1,0,0,0,0
178,2,2,3,0,800,0,83330,1,4,0,0,0
179,1,2,4,0,1200,0,11850,2,0,0,0,0
180,2,1,4,1,10000,0,0,10,1,0,0,0
181,1,1,4,1,4000,0,250000,0,0,0,0,0
182,1,1,3,1,2000,0,11688,0,0,0,0,0
183,1,1,4,0,3000,0,0,0,1,0,0,0
184,1,1,3,1,1400,0,12388,3,0,0,0,0
185,1,2,3,1,2000,0,2000,4,0,0,0,0
186,1,1,3,1,0,0,0,19,0,0,0,0
187,1,1,4,0,0,0,0,3,0,0,0,0
188,1,1,4,1,60000,0,0,35,0,0,0,0
189,1,1,4,0,100000,0,100000,0,0,0,0,0
190,1,2,3,1,2880,0,2880,0,0,0,0,0
191,1,2,3,1,500,0,12749,4,0,0,0,0
192,1,1,4,1,2399,0,2399,0,0,0,0,0
193,2,2,3,0,3000,0,15000,0,0,0,0,0
194,2,1,5,0,3000,0,7723,7,2,0,0,0
195,1,1,3,1,0,0,0,1,0,0,0,0
196,2,2,3,0,0,0,0,29,0,0,0,0
197,1,2,3,1,36,11,10858,32,0,0,0,0
198,1,1,3,1,1400,0,3400,0,0,0,0,0
199,1,1,4,1,1000,0,15200,0,1,0,0,0
200,1,1,4,0,1500,0,5500,14,0,0,0,0
201,2,1,4,1,1050,0,22671,4,0,0,0,0
202,1,1,7,1,250,0,6550,0,0,0,0,1
203,1,1,4,1,3800,0,3800,4,1,0,0,0
204,1,1,3,0,1000,0,32180,0,0,0,0,0
205,2,1,4,1,8500,0,8500,7,0,0,0,0
206,1,1,3,0,0,0,0,0,0,0,0,0
207,1,1,4,0,3500,0,98540,1,0,0,0,0
208,2,2,3,1,1000,0,423700,0,0,0,0,0
209,1,1,3,1,100000,0,100000,0,0,0,0,0
210,2,1,4,1,1000,0,54700,2,0,0,0,0
211,2,1,5,0,2000,0,307600,0,0,0,0,0
212,1,1,4,0,0,0,0,1,0,0,0,0
213,1,1,4,0,15000,0,32000,21,0,0,0,0
214,1,1,4,0,30000,152,0,31,0,0,0,0
215,1,2,3,1,500,0,12230,0,1,0,0,0
216,1,2,3,1,700,0,62100,0,0,0,0,0
217,1,1,3,1,15000,0,15000,1,0,0,0,0
218,2,2,4,1,1000,0,11300,0,0,0,0,0
219,1,1,4,0,0,0,0,12,0,0,0,0
220,1,1,4,1,500,0,18093,4,0,0,0,1
221,1,1,4,1,170000,0,170000,0,0,0,0,0
222,1,2,4,0,1763,0,104063,1,0,0,0,0
223,2,1,3,1,500,0,32088,0,0,0,0,1
224,1,1,5,0,0,0,0,0,0,0,0,0
225,2,1,2,1,0,0,0,0,0,0,0,0
226,1,2,3,0,500,0,4045,0,0,0,0,0
227,1,1,3,1,4500,0,289940,0,0,0,0,1
228,1,2,3,1,0,0,0,0,0,0,0,0
229,1,1,3,0,0,0,0,0,0,0,0,0
230,1,2,3,0,500,0,38088,0,0,0,0,0
231,1,2,3,1,500,0,18500,12,0,0,0,0
232,1,1,4,0,1000,0,4498,15,0,0,0,0
233,1,2,3,1,1798,0,1798,0,0,0,0,0
234,1,2,3,0,500,0,6500,0,0,0,0,0
235,1,2,3,1,0,0,0,18,0,0,0,0
236,2,1,4,1,19000,0,49000,9,0,0,0,0
237,2,2,3,1,500,0,21140,0,0,0,0,0
238,3,2,3,0,2000,0,16000,5,0,0,0,0
239,1,1,2,0,2198,0,7198,0,0,0,0,0
240,1,1,4,1,0,38,0,23,0,0,0,0
241,1,1,4,0,55000,0,0,0,0,0,0,0
242,1,2,3,1,333,0,21890,6,0,0,0,0
243,1,1,3,1,1000,0,3000,0,0,0,0,0
244,1,2,3,1,3000,0,7500,0,0,0,0,0
245,1,1,4,0,1680,0,40080,7,0,0,0,0
246,1,1,3,1,0,0,0,33,0,0,0,0
247,2,1,4,1,11000,23,60000,17,0,0,0,0
248,2,1,7,1,3000,0,260200,0,1,0,0,0
249,1,1,4,1,0,0,0,2,0,0,0,0
250,1,1,4,0,20000,0,0,4,1,0,0,0
251,1,1,3,0,3000,0,238000,7,0,0,0,0
252,1,1,4,0,627,0,654034,0,0,0,0,0
253,1,1,3,1,4400,136,70000,31,0,0,0,0
254,1,1,3,1,30000,0,0,2,0,0,0,0
255,1,2,2,1,4554,0,47954,1,1,0,0,0
256,1,2,6,1,0,0,0,0,0,0,0,0
257,1,2,4,0,0,0,0,0,0,0,0,0
258,1,1,4,1,40000,0,40000,8,1,0,0,0
259,3,1,5,1,0,0,0,12,0,0,0,0
260,1,1,4,1,0,0,0,2,0,0,0,0
261,2,2,3,0,168,0,15000,15,0,0,0,0
262,2,2,3,0,500,0,7500,41,0,0,0,0
263,1,2,3,1,0,0,0,0,0,0,0,0
264,1,2,4,0,3000,0,22000,0,0,0,0,0
265,1,1,4,0,1075,0,351238,0,1,0,0,0
266,1,2,3,1,3388,0,0,6,0,0,0,0
267,1,1,4,0,0,50,0,22,0,0,0,0
268,1,2,4,0,2000,0,2000,4,0,0,0,0
269,2,2,3,1,500,0,500,0,0,0,0,0
270,1,1,4,1,0,0,0,13,0,0,0,0
271,1,1,4,0,0,0,0,11,0,0,0,0
272,1,1,3,0,1200,55,42175,5,0,0,0,0
273,1,1,4,0,1900,0,181600,0,1,0,0,0
274,1,1,4,0,2199,0,7000,0,0,0,0,0
275,2,2,3,0,3233,0,83683,3,0,0,0,0
276,1,1,3,1,4400,0,94400,1,0,0,0,0
277,1,1,7,1,14000,0,444000,2,1,0,0,0
278,1,1,4,1,80000,0,0,3,1,0,0,0
279,4,1,4,1,9500,0,79500,3,0,0,0,0
280,1,2,3,0,0,0,0,0,0,0,0,0
281,2,3,4,0,5000,0,830500,2,0,0,0,1
282,3,3,6,0,0,0,0,45,0,0,0,0
283,2,1,5,0,2000,130,37100,5,0,0,0,0
284,1,1,4,1,500,0,15200,0,0,0,0,0
285,1,2,4,0,888,0,12088,2,1,0,0,1
286,1,1,4,0,2000,0,55500,9,0,0,0,0
287,3,1,6,0,500,0,21499,5,1,0,0,0
288,1,1,4,1,80,0,32168,10,0,0,0,0
289,1,1,4,1,2799,0,2799,9,0,0,0,0
290,3,1,5,1,0,0,0,0,0,0,0,0
291,1,1,4,1,5300,0,105300,7,0,0,0,0
292,1,3,6,0,0,0,0,29,0,0,0,0
293,1,1,4,1,0,0,0,24,0,0,0,0
294,1,1,2,1,2500,0,25100,0,0,0,0,0
295,1,2,4,1,0,0,0,0,0,0,0,0
296,1,1,4,0,572,0,28881,0,0,0,0,0
297,1,1,4,1,30000,0,90000,3,0,0,0,0
298,2,1,5,0,500,0,816580,0,1,0,0,0
299,1,2,3,1,994,0,994,0,0,0,0,0
300,1,3,7,1,20000,0,20000,4,0,0,0,0
301,1,1,3,1,4500,0,4500,0,0,0,0,0
302,2,1,4,1,3700,0,10169,5,0,0,0,0
303,1,1,4,1,50000,0,0,26,0,0,0,0
304,2,2,3,0,0,0,0,1,0,0,0,0
305,1,1,4,1,549,0,22647,12,0,0,0,0
306,1,1,4,1,350,0,115400,4,0,0,0,0
307,1,1,4,1,2000,0,15600,0,0,0,0,1
308,1,1,3,1,0,0,0,5,0,0,0,0
309,4,1,2,1,1519,0,1519,1,0,0,0,0
310,2,1,5,0,5150,0,885250,2,0,0,0,0
311,1,1,2,1,1000,0,72700,0,0,0,0,0
312,1,2,3,0,1900,0,1900,2,0,0,0,0
313,1,3,3,1,4470,0,5000,16,1,0,0,0
314,1,1,4,1,3000,0,17000,0,0,0,0,0
315,1,1,6,1,2610,0,21000,0,0,0,0,0
316,2,1,4,1,2000,0,105788,2,0,0,0,0
317,1,2,3,1,0,0,0,3,0,0,0,0
318,1,1,4,0,4500,0,20000,8,1,0,0,0
319,1,1,4,0,700,0,23433,0,0,0,0,0
320,1,1,4,1,1820,200,9820,32,1,0,0,0
321,2,1,4,0,500,0,486400,1,1,0,0,0
322,1,1,4,0,2000,0,19161,9,0,0,0,0
323,2,1,4,1,500,0,389800,3,1,0,0,0
324,1,2,3,1,511,0,13341,0,0,0,0,0
325,2,2,4,1,400,0,29158,1,0,0,0,0
326,1,2,3,0,500,0,19525,0,0,0,0,0
327,1,2,4,0,0,0,0,14,0,0,0,0
328,2,1,5,0,2000,0,12000,12,0,0,0,0
329,2,2,4,1,3730,0,9355,3,1,0,0,0
330,1,1,4,1,888,0,2888,2,0,0,0,0
331,1,1,4,1,500,0,23048,15,1,0,0,0
332,1,1,3,1,1000,0,1000,6,0,0,0,0
333,1,2,3,1,0,0,0,2,0,0,0,0
334,1,2,3,1,1349,0,0,0,1,0,0,0
335,1,1,4,1,2000,0,16000,0,0,0,0,0
336,2,2,3,0,500,0,7500,2,0,0,0,0
337,1,2,3,1,0,0,0,0,0,0,0,0
338,1,2,3,1,2000,0,19700,1,0,0,0,1
339,1,1,4,0,5200,0,5200,0,0,0,0,0
340,1,1,3,1,0,0,0,4,0,0,0,0
341,1,1,4,1,4300,0,4300,0,0,0,0,0
342,2,1,4,1,10000,132,39900,3,0,0,0,0
343,2,2,3,1,500,0,16200,0,0,0,0,0
344,1,2,3,0,500,0,0,1,0,0,0,0
345,1,1,4,0,20000,0,0,10,0,1,0,0
346,1,1,3,1,1173,0,215672,0,0,0,0,0
347,1,1,3,1,500,0,28716,5,0,0,0,0
348,1,1,4,0,9700,0,9700,1,1,0,0,0
349,1,1,4,1,35000,0,0,11,0,0,0,0
350,1,1,4,0,500,0,17040,0,0,0,0,0
351,2,1,5,0,2699,0,250000,30,0,0,0,0
352,2,1,5,0,800,0,354100,2,1,0,0,0
353,1,1,3,1,699,0,61158,6,0,0,0,0
354,1,2,3,1,4780,0,9874,1,0,0,0,0
355,1,1,4,0,0,0,0,3,0,0,0,0
356,1,2,4,0,0,0,0,0,0,0,0,0
357,1,1,4,1,30000,0,0,0,0,0,0,0
358,1,1,4,1,0,3735,0,1,0,0,0,1
359,1,1,4,0,2000,0,16100,3,1,0,0,0
360,1,1,2,1,2199,0,59599,0,0,0,0,1
361,1,1,2,0,0,0,0,1,0,0,0,0
362,1,1,3,1,168,0,3579,6,0,0,0,0
363,1,2,2,1,500,0,3500,0,0,0,0,0
364,1,1,2,1,1999,0,1999,0,0,0,0,0
365,1,2,4,0,2180,0,2180,20,0,0,0,0
366,1,2,3,1,1111,0,622777,0,0,0,0,0
367,1,1,3,1,2000,0,6500,6,0,0,0,0
368,1,1,4,0,919,0,12888,7,3,0,0,0
369,1,1,4,1,95,0,78900,14,0,0,0,0
370,4,1,4,1,1300,0,5200,0,0,0,0,0
371,2,1,4,1,0,0,0,0,0,0,0,0
372,1,1,3,1,900,0,30000,1,0,0,0,0
373,1,1,4,0,129,0,74127,0,0,0,0,0
374,1,1,3,1,5000,0,20000,0,0,0,0,0
375,1,1,3,1,129,0,207407,4,5,0,0,0
376,1,2,3,1,10000,0,10000,0,0,0,0,0
377,1,1,6,1,5000,0,34000,0,0,0,0,0
378,3,1,2,1,1000,0,255272,4,2,0,0,0
379,1,3,3,0,2000,0,2000,12,0,0,0,1
380,1,2,6,0,6000,0,0,0,0,0,0,0
381,4,1,4,0,127000,0,127000,2,1,0,0,0
382,2,1,4,1,3000,0,11000,3,0,0,0,0
383,2,2,2,1,500,0,34800,1,0,0,0,0
384,4,2,4,0,1300,0,3800,2,0,0,0,0
385,1,1,1,1,4700,0,4700,10,0,0,0,1
386,2,2,3,1,2000,0,12500,14,0,0,0,0
387,1,1,4,0,1000,0,498423,1,0,0,0,0
388,1,1,4,1,4798,0,69996,0,0,0,0,0
389,1,1,2,1,1600,0,0,0,0,0,0,0
390,2,1,5,0,1000,0,1000,1,0,0,0,0
391,1,1,4,1,935,0,43635,1,0,0,0,0
392,1,1,3,1,500,346,46500,24,1,0,0,0
393,4,1,4,1,0,0,0,0,0,0,0,1
394,2,1,5,0,500,0,94900,25,0,0,0,0
396,2,1,5,0,500,0,76300,19,0,0,0,0
397,2,2,3,0,1100,0,50880,0,0,0,0,0
398,2,1,5,0,2888,0,7476,6,1,0,0,0
399,1,2,4,0,299,0,2660,21,0,0,0,0
400,1,1,4,1,4230,0,11230,0,0,0,0,0
401,2,2,4,1,1000,0,14600,0,0,0,0,0
402,2,1,5,0,6000,0,125799,1,0,0,0,0
403,1,1,2,0,0,0,0,0,0,0,0,0
404,1,1,4,0,5000,0,70000,2,0,0,0,0
405,1,2,3,1,700,0,27450,0,0,0,0,1
406,2,1,4,1,42000,57,300000,2,1,0,0,0
407,1,1,4,1,919,0,4719,37,0,0,0,0
408,1,1,3,1,1599,0,13599,2,0,0,0,0
409,1,2,3,1,888,0,7188,0,0,0,0,0
410,1,2,3,1,500,0,228300,0,0,0,0,0
411,2,1,5,0,0,0,0,0,0,0,0,0
412,1,1,4,1,0,0,0,2,0,0,0,0
413,1,2,5,1,500,0,108000,0,0,0,0,1
414,1,1,3,1,20,0,3660,10,0,0,0,0
415,1,1,4,0,0,0,0,13,0,0,0,0
416,1,1,3,1,0,0,0,0,0,0,0,0
417,1,1,4,0,0,0,0,18,0,0,0,0
418,2,1,4,1,1000,0,828200,5,0,0,0,0
419,1,1,4,0,20000,0,0,9,0,0,0,0
420,1,1,4,1,0,0,0,10,0,0,0,0
421,2,1,4,1,3400,0,3400,9,0,0,0,0
422,2,1,5,0,2500,0,31700,12,0,0,0,0
423,1,1,4,0,0,0,0,4,0,0,0,0
424,1,1,3,1,0,0,0,0,0,0,0,0
425,1,1,5,0,5000,0,0,0,1,0,0,0
426,1,1,4,0,0,0,0,0,0,0,0,1
427,1,3,4,1,5000,0,105300,10,0,0,0,0
428,4,2,4,0,8040,0,21040,0,0,0,0,0
429,1,1,3,1,1000,0,66683,0,0,0,0,0
430,1,1,4,0,0,0,0,16,0,0,0,0
431,2,1,4,1,700,0,38100,12,0,0,0,0
432,2,1,4,1,103,0,40272,0,0,0,0,0
433,1,1,4,1,200,0,60000,10,1,0,0,0
434,1,1,6,0,168,0,1000000,3,1,0,0,0
435,2,2,3,0,999,0,401883,0,1,0,0,0
436,1,3,3,1,2000,0,2000,2,1,0,0,0
437,1,1,2,1,14800,0,14800,0,0,0,0,0
438,2,1,5,0,1000,0,1000,10,0,0,0,0
439,4,2,4,0,0,0,0,0,0,0,0,0
440,1,3,3,1,100,0,34751,17,8,0,0,0
441,1,1,4,1,500,0,17445,0,0,0,0,0
442,1,1,4,1,2700,0,6200,14,0,0,0,0
443,2,2,3,1,0,0,0,4,0,0,0,1
444,2,2,4,0,14220,0,14220,1,0,0,0,0
445,1,1,4,1,900,0,10900,12,0,0,0,1
446,2,2,4,1,1000,0,296680,21,0,0,0,0
447,3,1,6,0,3000,0,358610,0,1,0,0,0
448,1,1,4,0,1500,0,39122,0,0,0,0,1
449,2,2,3,0,350000,0,350000,0,0,0,0,0
450,1,3,4,1,500,0,16065,1,0,0,0,0
451,2,1,4,1,1656,0,121656,5,1,0,0,0
452,1,2,4,0,0,0,0,7,0,0,0,1
453,1,2,3,1,1200,0,26200,0,0,0,0,0
454,1,1,4,1,20000,0,50000,0,0,0,0,0
455,1,1,3,1,1000,0,4400,14,0,0,0,1
456,1,1,6,1,20000,0,97460,0,0,0,0,0
457,1,1,3,1,0,0,0,0,0,0,0,0
458,1,1,4,0,900,0,46300,12,0,0,0,0
459,1,1,4,0,0,0,0,3,0,0,0,0
460,1,1,4,0,0,0,0,6,0,0,0,0
461,2,1,3,0,4796,0,4796,1,0,0,0,0
462,1,2,3,1,1000,0,12000,0,0,0,0,0
463,1,1,3,1,7200,0,7200,2,0,0,0,0
464,1,2,4,0,8000,0,8000,0,0,0,0,0
465,1,2,3,1,2000,0,2000,9,0,0,0,0
466,2,1,3,1,1000,4000,5000,3,2,0,0,0
467,1,1,4,1,3999,0,11999,0,0,0,0,0
468,1,2,3,0,100,0,13200,3,0,0,0,0
469,1,1,3,1,1052,0,19752,26,0,0,0,0
470,2,1,5,0,25000,0,25000,1,0,0,0,0
471,2,1,5,0,5000,0,5000,47,1,0,0,0
472,1,2,5,0,0,0,0,1,0,0,0,0
473,1,2,3,1,1955,0,63655,20,0,0,0,0
474,1,1,4,0,0,0,0,10,0,0,0,0
475,2,1,4,1,1020,0,58486,0,0,0,0,0
476,2,1,5,0,500,0,45920,2,0,0,0,0
477,1,3,3,1,40000,0,0,0,0,0,0,0
478,1,1,3,1,80000,0,390000,1,1,0,0,0
479,2,2,3,0,500,0,31100,0,0,0,0,0
480,2,1,4,1,600,0,124150,3,1,0,0,0
481,3,2,6,1,0,0,0,0,0,0,0,0
482,2,1,4,1,500,0,21863,7,0,0,0,0
483,2,2,3,0,500,0,11500,0,0,0,0,0
484,1,1,4,0,5800,0,5800,14,0,0,0,0
485,4,2,4,0,168,0,22668,0,0,0,0,0
486,2,2,3,0,500,0,15264,1,0,0,0,0
487,2,2,3,0,6000,0,22500,2,0,0,0,0
488,1,1,4,1,5500,0,240000,0,1,0,0,0
489,1,1,4,1,0,0,0,1,0,0,0,0
490,1,2,3,0,0,0,0,24,0,0,0,0
491,2,1,4,1,9000,0,0,12,0,0,0,0
492,2,1,4,1,2750,0,0,48,0,0,0,0
493,1,1,4,0,1700,0,33700,0,0,0,0,0
494,1,1,3,1,168,0,9500,2,0,0,0,0
495,4,1,4,1,6500,0,26500,22,0,0,0,0
496,1,2,3,1,450,0,3500,7,0,0,0,0
497,1,2,1,0,500,0,11500,0,0,0,0,0
498,2,2,3,0,0,0,0,1,0,0,0,0
499,1,1,3,1,50000,0,0,0,0,0,0,0
500,1,2,3,1,3000,0,4800,1,1,0,0,1
501,1,2,3,1,2500,0,37500,5,0,0,0,0
502,1,1,2,1,6100,0,6100,14,0,0,0,0
503,2,2,3,0,600,0,5000,0,0,0,0,0
504,1,1,3,1,3430,0,62430,0,2,0,0,0
505,1,1,4,1,888,0,25500,0,0,0,0,0
506,1,1,4,0,4000,0,14000,5,0,0,0,0
507,1,1,3,1,2000,0,15000,0,0,0,0,0
508,2,1,4,1,700,0,40285,38,0,0,0,0
509,1,3,3,1,0,0,0,13,0,0,0,0
510,2,2,3,0,1000,0,7105,0,1,0,0,0
511,2,1,5,0,5000,0,10000,5,0,0,0,0
512,1,2,3,1,800,0,38220,0,0,0,0,0
513,1,1,4,1,500,0,48400,2,0,0,0,0
